"Volume Ekspor Menurut Negara/Wilayah/Entitas tertentu Tujuan Utama (Berat bersih: ribu ton), 2000-2024",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Negara/Wilayah/Entitas tertentu Tujuan,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Taiwan, - , - ," 19,639.2 "," 21,788.5 "," 24,074.9 "," 21,641.5 "," 29,678.3 "," 27,153.6 "," 26,940.3 "," 27,072.0 "," 29,045.3 "," 31,412.3 "," 32,924.7 "," 32,126.3 "," 31,874.8 "," 28,796.4 "," 24,757.5 "," 22,843.7 "," 21,898.3 "," 21,764.6 "," 21,514.8 "," 21,548.7 "," 22,963.7 "," 19,347.2 "," 20,699.5 "
Tiongkok, - , - ," 11,544.7 "," 11,483.7 "," 12,631.9 "," 18,629.8 "," 31,246.4 "," 53,392.0 "," 59,468.1 "," 81,745.4 "," 137,643.7 "," 209,264.2 "," 214,891.2 "," 284,601.8 "," 125,331.8 "," 94,148.6 "," 130,333.6 "," 143,938.1 "," 182,019.4 "," 225,422.9 "," 188,714.5 "," 257,438.8 "," 226,888.9 "," 264,630.6 "," 283,163.3 "
Lainnya," 61,016.1 "," 61,497.4 ", - , - ," 20,432.9 "," 28,816.5 "," 37,093.2 "," 40,864.7 "," 43,909.4 "," 56,797.8 "," 67,794.6 "," 90,850.2 "," 112,341.4 "," 136,470.5 "," 154,941.1 "," 147,736.0 "," 116,935.9 "," 125,789.9 "," 141,880.8 "," 155,595.1 "," 131,395.3 "," 102,683.9 "," 149,569.3 "," 155,360.6 "," 156,785.0 "
,,,,,,,,,,,,,,,,,,,,,,,,,
AFRIKA," 3,493.4 "," 4,814.4 ", - , - ," 3,653.2 "," 2,839.8 "," 5,259.6 "," 5,694.6 "," 4,296.7 "," 3,908.4 "," 3,828.1 "," 3,949.1 "," 3,787.6 "," 4,792.5 "," 5,670.7 "," 5,654.4 "," 4,516.9 "," 5,640.1 "," 6,042.9 "," 6,320.3 "," 5,659.0 "," 6,345.7 "," 5,502.3 "," 6,772.6 "," 5,829.1 "
,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA & OCEANIA,,,,,,,,,,,,,,,,,,,,,,,,,
Australia," 4,099.1 "," 6,697.9 "," 6,365.4 "," 4,993.9 "," 4,724.4 "," 4,852.1 "," 4,500.7 "," 4,496.4 "," 4,680.8 "," 4,608.6 "," 5,264.2 "," 5,764.8 "," 4,622.7 "," 4,593.4 "," 3,558.8 "," 3,553.2 "," 3,599.1 "," 3,009.8 "," 3,653.5 "," 3,287.4 "," 2,299.2 "," 2,800.8 "," 2,778.3 "," 4,005.8 "," 4,231.7 "
Selandia Baru, - , - , - , - , 999.5 ," 1,392.0 "," 1,899.7 "," 1,269.9 "," 1,507.1 "," 1,547.6 "," 1,356.9 "," 1,138.2 "," 1,022.1 "," 1,612.9 "," 1,589.1 "," 1,848.8 "," 1,441.4 "," 1,888.8 "," 1,955.2 "," 2,001.1 "," 2,414.1 "," 3,314.1 "," 2,229.5 "," 1,492.4 "," 2,261.2 "
Oceania Lainnya, 294.4 , 604.0 , - , - , 138.6 , 137.0 , 565.0 , 88.4 , 302.7 , 337.8 , 341.4 , 474.6 , 368.5 , 538.8 , 390.5 , 470.7 , 491.3 , 518.6 , 463.5 , 527.0 , 513.5 , 664.0 , 729.1 , 816.5 ," 1,174.6 "
,,,,,,,,,,,,,,,,,,,,,,,,,
AMERIKA/AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,
NAFTA," 6,843.8 "," 6,767.9 "," 6,950.7 "," 7,212.0 "," 7,753.3 "," 7,539.6 "," 8,824.6 "," 8,891.8 "," 8,596.3 "," 6,073.3 "," 8,342.6 "," 5,615.5 "," 4,580.9 "," 6,640.9 "," 6,913.5 "," 7,717.2 "," 7,255.6 "," 7,579.0 "," 7,672.1 "," 6,335.7 "," 6,733.6 "," 7,897.7 "," 7,385.6 "," 7,532.8 "," 8,088.2 "
Amerika Serikat," 6,606.3 "," 6,523.1 "," 6,542.8 "," 6,832.8 "," 7,371.0 "," 7,156.3 "," 8,362.3 "," 8,550.5 "," 8,125.4 "," 5,674.2 "," 6,413.1 "," 4,879.5 "," 3,783.4 "," 5,684.7 "," 6,288.1 "," 7,059.1 "," 6,563.0 "," 6,758.1 "," 6,950.1 "," 5,475.3 "," 5,633.8 "," 6,801.5 "," 6,276.3 "," 6,156.5 "," 6,752.7 "
Kanada, 237.5 , 244.8 , 246.8 , 244.6 , 245.4 , 278.3 , 349.2 , 226.9 , 212.3 , 204.3 , 228.9 , 235.8 , 207.7 , 214.7 , 200.6 , 210.2 , 221.7 , 255.8 , 327.4 , 302.0 , 260.3 , 302.2 , 267.8 , 235.2 , 319.0 
